2023-04-05 08:50:36 [info     ] pulling
2023-04-05 08:50:36 [info     ] pulling 1 status contexts
2023-04-05 08:50:36 [info     ] pulling 0 status dbs
2023-04-05 08:50:36 [info     ] pulling 0 runs
2023-04-05 08:50:36 [info     ] running function setup         batch=prep
2023-04-05 08:50:36 [info     ] function setup returned <aswan.depot.AswanDepot object at 0x7fb8b9f82620> batch=prep
2023-04-05 08:50:36 [info     ] running function _initiate_status batch=prep
2023-04-05 08:50:37 [info     ] function _initiate_status returned None batch=prep
2023-04-05 08:50:37 [info     ] running function _create_scheduler batch=prep
2023-04-05 08:50:39 [info     ] function _create_scheduler returned None batch=prep
2023-04-05 09:43:29 [warning  ] Failed Try                     attempt=0 e_msg=410 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485738
2023-04-05 09:43:29 [warning  ] Failed Try                     attempt=1 e_msg=410 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485738
2023-04-05 09:43:30 [warning  ] Gave Up                        attempt=2 e_msg=request resulted in error with status 410 e_type=ConnectionError handler=AdHandler proxy=None status=CE url=https://ingatlan.com/33485738
2023-04-05 09:43:39 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485691
2023-04-05 09:43:39 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485691
2023-04-05 09:43:39 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=443
2023-04-05 09:43:39 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=443
2023-04-05 09:43:41 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485889
2023-04-05 09:43:41 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485889
2023-04-05 09:43:42 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=1140
2023-04-05 09:43:42 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=1140
2023-04-05 09:43:43 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485749
2023-04-05 09:43:43 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=AdHandler proxy=None status=SB url=https://ingatlan.com/33485749
2023-04-05 09:43:44 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=ListingHandler proxy=None status=RETRY url=https://ingatlan.com/lista/kiado?page=408
2023-04-05 09:43:44 [warning  ] Gave Up                        attempt=2 e_msg=error: 403 e_type=BrokenSessionError handler=ListingHandler proxy=None status=SB url=https://ingatlan.com/lista/kiado?page=408
2023-04-05 09:43:45 [warning  ] Failed Try                     attempt=0 e_msg=403 e_type=int handler=AdHandler proxy=None status=RETRY url=https://ingatlan.com/33485808
